Acc_X,Acc_Y,Acc_Z
-4.782526,-8.814363,0.087171
-4.777869,-8.815691,0.08655
-4.768053,-8.822393,0.079368
-4.76457,-8.822414,0.081403
-4.764222,-8.821437,0.077452
-4.767694,-8.821196,0.081882
-4.75902,-8.826878,0.073458
-4.746179,-8.831449,0.069541
-4.748301,-8.83209,0.084396
-4.751772,-8.831133,0.091219
-4.741282,-8.835475,0.086518
-4.750934,-8.831732,0.083199
-4.743512,-8.83197,0.088226
-4.751184,-8.828727,0.085974
-4.752708,-8.826878,0.089891
-4.753328,-8.830294,0.08679
-4.74016,-8.830534,0.096606
-4.745526,-8.830252,0.095659
-4.743153,-8.834246,0.085353
-4.755723,-8.828978,0.107619
-4.746069,-8.831231,0.102951
-4.729745,-8.841569,0.091415
-4.747463,-8.831732,0.097923
-4.742914,-8.83406,0.104148
-4.742914,-8.835038,0.103495
-4.74435,-8.835321,0.108457
-4.735252,-8.835802,0.10726
-4.721257,-8.844291,0.109807
-4.730725,-8.843093,0.113833
-4.739083,-8.837237,0.108338
-4.731051,-8.840697,0.113398
-4.733228,-8.840154,0.111222
-4.738245,-8.835562,0.102113
-4.734175,-8.837836,0.111809
